worker_id,module,scenario,correct_actions,wrong_actions,unsafe_actions,critical_errors,response_time,completion,score,attempts,competency
W1043,machinery,milling_nip,7,0,0,0,4.22,1,96.9,3,1
W1044,gas,methane_leak,6,2,0,0,9.19,1,66.7,3,0
W1045,fire,chemical_fire,6,3,0,0,6.4,1,68.0,1,0
W1046,fire,structural_fire,6,0,0,0,6.07,1,80.4,2,1
W1047,fire,structural_fire,6,0,0,0,4.7,1,93.4,1,1
W1048,fire,structural_fire,7,0,0,0,4.94,1,75.4,1,1
W1049,gas,methane_leak,4,3,1,0,15.81,1,52.3,2,0
W1050,fire,chemical_fire,1,4,3,2,10.95,0,22.1,2,0
W1051,gas,h2s_leak,5,3,1,0,6.59,1,65.7,4,0
W1052,machinery,conveyor_pinch,7,1,0,0,6.97,1,87.2,1,1
W1053,gas,confined_space,5,0,0,0,4.15,1,95.4,4,1
W1054,gas,h2s_leak,5,1,0,0,4.13,1,90.3,4,1
W1055,gas,methane_leak,5,0,0,0,4.16,1,92.1,4,1
W1056,gas,methane_leak,6,3,1,0,11.36,1,68.7,1,0
W1057,machinery,milling_nip,3,3,2,1,12.51,0,25.4,1,0
W1058,gas,methane_leak,7,0,0,0,5.81,1,88.2,1,1
W1059,gas,confined_space,6,3,1,0,6.23,1,67.5,1,0
W1060,gas,h2s_leak,6,1,0,0,2.35,1,92.0,3,1
W1061,fire,electrical_fire,8,1,0,0,2.79,1,82.2,2,1
W1062,gas,confined_space,2,3,1,0,17.39,1,50.6,1,0
W1063,gas,h2s_leak,6,0,0,0,3.73,1,77.6,4,1
W1064,machinery,lathe_entrapment,5,1,0,0,9.16,1,70.4,4,1
W1065,fire,electrical_fire,1,3,2,2,6.56,1,46.1,3,0
W1066,fire,electrical_fire,4,3,1,0,6.58,1,72.8,4,1
W1067,fire,chemical_fire,5,1,0,0,4.88,1,88.2,1,1
W1068,machinery,lathe_entrapment,8,0,0,0,6.83,1,79.0,4,1
W1069,machinery,milling_nip,5,0,0,0,4.18,1,84.2,3,1
W1070,fire,chemical_fire,2,4,1,0,12.61,0,52.7,3,0
W1071,fire,chemical_fire,4,3,1,0,12.82,1,44.7,3,0
W1072,machinery,conveyor_pinch,8,1,0,0,5.77,1,92.5,1,1
W1073,gas,confined_space,4,4,1,0,15.52,1,50.6,3,0
W1074,gas,h2s_leak,5,1,0,0,4.31,1,75.9,1,1
W1075,gas,h2s_leak,4,3,1,0,9.7,1,70.0,1,1
W1076,machinery,conveyor_pinch,3,4,1,2,12.87,0,53.5,4,0
W1077,gas,methane_leak,1,4,3,1,5.51,1,54.7,3,0
W1078,machinery,lathe_entrapment,7,1,0,0,4.04,1,82.8,2,1
W1079,machinery,conveyor_pinch,5,1,0,0,3.42,1,91.6,3,1
W1000,machinery,lathe_entrapment,6,1,0,0,3.55,1,90.1,2,1
W1001,machinery,milling_nip,4,2,1,0,11.15,1,68.0,2,0
W1002,fire,structural_fire,5,3,1,0,6.15,1,67.8,1,0
W1003,fire,chemical_fire,6,0,0,0,2.39,1,94.4,4,1
W1004,fire,structural_fire,6,1,1,0,7.23,1,66.6,1,0
W1005,machinery,lathe_entrapment,2,4,2,0,17.41,0,63.3,2,0
W1006,machinery,milling_nip,6,1,0,0,6.83,1,93.0,4,1
W1007,fire,chemical_fire,7,1,0,0,4.51,1,84.6,4,1
W1008,fire,electrical_fire,2,5,2,0,18.99,0,57.1,2,0
W1009,machinery,conveyor_pinch,6,1,0,0,4.25,1,86.8,3,1
W1010,gas,methane_leak,3,3,2,0,12.43,1,45.7,2,0
W1011,fire,chemical_fire,5,1,0,0,5.96,1,78.2,2,1
W1012,gas,h2s_leak,3,4,1,0,19.25,0,46.1,2,0
W1013,fire,structural_fire,7,0,0,0,3.51,1,76.1,4,1
W1014,gas,confined_space,8,0,0,0,5.16,1,88.2,4,1
W1015,machinery,conveyor_pinch,7,0,0,0,4.85,1,79.3,3,1
W1016,machinery,conveyor_pinch,5,1,0,0,6.37,1,76.0,3,1
W1017,gas,h2s_leak,3,3,2,0,13.93,0,58.5,3,0
W1018,machinery,milling_nip,7,0,0,0,6.15,1,90.7,2,1
W1019,machinery,milling_nip,2,5,2,0,12.3,0,41.1,2,0
W1020,fire,electrical_fire,3,3,3,2,8.29,0,30.0,3,0
W1021,fire,structural_fire,7,1,0,0,6.45,1,92.1,3,1
W1022,gas,h2s_leak,8,1,0,0,6.62,1,86.9,2,1
W1023,fire,structural_fire,6,1,0,0,3.61,1,76.8,4,1
W1024,machinery,milling_nip,8,0,0,0,5.45,1,83.1,3,1
W1025,fire,structural_fire,5,2,0,0,6.6,1,70.7,3,1
W1026,gas,confined_space,1,4,3,2,5.45,0,28.3,2,0
W1027,machinery,milling_nip,5,0,0,0,5.4,1,96.8,3,1
W1028,gas,h2s_leak,6,2,1,0,8.52,1,67.5,1,0
W1029,fire,electrical_fire,8,0,0,0,3.31,1,81.0,2,1
W1030,gas,methane_leak,5,1,0,0,7.09,1,65.7,3,0
W1031,fire,structural_fire,3,3,3,2,14.22,1,51.2,4,0
W1032,fire,structural_fire,4,3,1,0,19.88,0,45.7,2,0
W1033,gas,methane_leak,5,2,0,0,10.9,1,65.8,3,0
W1034,gas,h2s_leak,5,3,0,0,7.0,1,67.9,4,0
W1035,fire,chemical_fire,5,1,0,0,12.14,1,66.2,4,0
W1036,machinery,conveyor_pinch,5,1,0,0,8.58,1,71.4,1,1
W1037,gas,confined_space,3,3,2,0,13.0,1,54.7,3,0
W1038,fire,structural_fire,6,1,0,0,11.27,1,71.5,2,1
W1039,machinery,milling_nip,2,3,1,0,19.59,1,55.6,1,0
W1040,machinery,milling_nip,7,1,0,0,4.41,1,93.5,1,1
W1041,machinery,milling_nip,5,0,0,0,4.2,1,86.1,3,1
W1042,fire,chemical_fire,7,1,0,0,6.88,1,78.0,2,1
W1043,gas,confined_space,8,0,0,0,3.34,1,80.7,1,1
W1044,fire,electrical_fire,3,3,1,1,15.58,1,26.6,3,0
W1045,fire,chemical_fire,7,1,0,0,2.12,1,96.7,4,1
W1046,machinery,milling_nip,7,0,0,0,2.25,1,86.4,2,1
W1047,machinery,lathe_entrapment,5,0,0,0,4.15,1,95.3,4,1
W1048,machinery,milling_nip,8,0,0,0,4.85,1,79.5,4,1
W1049,machinery,milling_nip,8,1,0,0,6.13,1,89.3,1,1
W1050,machinery,conveyor_pinch,2,3,2,2,14.81,0,41.1,2,0
W1051,gas,confined_space,6,1,0,0,6.02,1,86.9,1,1
W1052,fire,structural_fire,7,0,0,0,3.96,1,89.2,2,1
W1053,gas,confined_space,6,3,1,0,11.67,1,67.7,3,0
W1054,fire,chemical_fire,5,3,1,0,12.37,1,71.5,3,1
W1055,machinery,lathe_entrapment,5,3,0,0,11.77,1,70.3,1,1
W1056,fire,structural_fire,6,0,0,0,4.86,1,91.1,4,1
W1057,fire,electrical_fire,6,1,0,0,5.45,1,84.4,4,1
W1058,machinery,milling_nip,4,3,2,0,19.98,1,52.6,1,0
W1059,gas,methane_leak,2,4,2,2,12.93,0,53.5,4,0
W1060,gas,confined_space,7,1,0,0,5.52,1,90.9,3,1
W1061,gas,h2s_leak,7,1,0,0,2.61,1,90.6,4,1
W1062,gas,h2s_leak,1,3,1,2,17.42,0,32.1,3,0
W1063,gas,confined_space,2,3,2,0,19.46,1,43.3,3,0
W1064,machinery,lathe_entrapment,6,0,0,0,2.26,1,84.5,2,1
W1065,machinery,milling_nip,4,1,0,0,9.26,1,73.4,1,1
W1066,gas,h2s_leak,3,4,2,0,17.17,0,55.7,2,0
W1067,fire,structural_fire,1,3,1,1,17.96,1,47.6,1,0
W1068,fire,structural_fire,2,4,1,0,19.43,1,46.8,3,0
W1069,machinery,lathe_entrapment,2,5,2,0,14.18,0,47.9,4,0
W1070,machinery,milling_nip,2,5,2,0,18.33,0,44.2,3,0
W1071,machinery,milling_nip,4,2,0,0,7.48,1,66.3,4,0
W1072,gas,methane_leak,6,1,0,0,5.77,1,96.9,1,1
W1073,gas,confined_space,7,0,0,0,2.31,1,77.7,1,1
W1074,gas,methane_leak,6,2,0,0,11.11,1,73.5,4,1
W1075,gas,confined_space,6,1,0,0,2.77,1,92.2,2,1
W1076,machinery,milling_nip,3,5,1,0,18.09,0,52.6,4,0
W1077,machinery,lathe_entrapment,5,0,0,0,6.14,1,95.8,3,1
W1078,fire,structural_fire,8,0,0,0,5.4,1,91.5,2,1
W1079,gas,methane_leak,3,3,2,0,15.65,0,53.4,4,0
W1000,machinery,milling_nip,5,0,0,0,4.89,1,76.0,1,1
W1001,gas,confined_space,4,1,1,0,6.25,1,68.7,1,0
W1002,fire,structural_fire,8,1,0,0,6.35,1,95.9,4,1
W1003,gas,methane_leak,5,1,0,0,13.94,1,68.5,2,0
W1004,fire,structural_fire,2,4,2,0,17.39,1,52.8,2,0
W1005,fire,electrical_fire,7,0,0,0,6.69,1,91.7,4,1
W1006,fire,electrical_fire,4,1,0,0,6.54,1,70.3,4,1
W1007,gas,confined_space,5,1,0,0,4.19,1,87.4,1,1
W1008,fire,electrical_fire,7,1,0,0,3.18,1,95.2,3,1
W1009,machinery,lathe_entrapment,7,0,0,0,4.78,1,88.6,2,1
W1010,machinery,conveyor_pinch,4,2,1,0,12.29,1,67.9,4,0
W1011,gas,h2s_leak,6,1,0,0,3.2,1,80.2,2,1
W1012,machinery,conveyor_pinch,3,3,2,1,10.05,1,27.1,4,0
W1013,machinery,conveyor_pinch,2,5,1,0,12.41,1,56.2,4,0
W1014,machinery,conveyor_pinch,6,1,0,0,3.04,1,95.9,1,1
W1015,gas,methane_leak,3,2,3,2,16.89,0,33.9,2,0
W1016,fire,structural_fire,3,4,2,0,14.47,1,52.3,3,0
W1017,gas,h2s_leak,4,4,2,0,19.31,1,47.5,1,0
W1018,fire,structural_fire,2,4,2,0,14.36,0,47.9,2,0
W1019,gas,confined_space,7,1,0,0,5.82,1,86.2,2,1
W1020,machinery,lathe_entrapment,7,0,0,0,2.7,1,87.6,4,1
W1021,fire,structural_fire,4,3,0,0,12.11,1,68.7,1,0
W1022,machinery,conveyor_pinch,2,3,2,0,14.99,1,55.8,1,0
W1023,fire,electrical_fire,7,1,0,0,2.09,1,93.7,4,1
W1024,machinery,milling_nip,5,0,0,0,3.2,1,89.3,2,1
W1025,gas,h2s_leak,2,4,2,0,15.67,0,63.8,3,0
W1026,fire,chemical_fire,6,1,0,0,9.24,1,68.4,1,0
W1027,gas,methane_leak,2,4,2,0,17.16,1,53.6,1,0
W1028,fire,structural_fire,8,1,0,0,2.23,1,76.7,1,1
W1029,gas,confined_space,7,0,0,0,6.81,1,88.5,1,1
W1030,machinery,milling_nip,6,1,0,0,5.39,1,87.4,1,1
W1031,gas,confined_space,4,5,1,0,16.01,1,41.3,2,0
W1032,gas,methane_leak,8,1,0,0,2.15,1,81.3,1,1
W1033,gas,h2s_leak,8,1,0,0,2.93,1,88.5,2,1
W1034,gas,methane_leak,4,3,1,0,14.14,1,57.1,3,0
W1035,machinery,conveyor_pinch,5,0,0,0,2.03,1,82.1,4,1
W1036,gas,h2s_leak,6,1,0,0,4.24,1,87.8,1,1
W1037,gas,methane_leak,5,1,0,0,6.32,1,75.3,1,1
W1038,gas,h2s_leak,4,3,1,0,17.48,0,43.3,1,0
W1039,gas,h2s_leak,6,1,0,0,3.38,1,81.9,4,1
W1040,fire,chemical_fire,3,4,2,1,10.95,0,30.7,3,0
W1041,gas,h2s_leak,3,4,2,0,15.44,0,47.2,4,0
W1042,machinery,lathe_entrapment,6,1,0,0,6.84,1,81.7,2,1
W1043,machinery,lathe_entrapment,1,3,2,2,15.61,1,32.8,4,0
W1044,machinery,conveyor_pinch,6,1,1,0,13.54,1,66.9,2,0
W1045,gas,confined_space,3,5,2,0,13.11,1,45.8,1,0
W1046,machinery,conveyor_pinch,2,4,2,0,16.66,1,53.0,4,0
W1047,gas,confined_space,6,1,0,0,2.83,1,89.1,1,1
W1048,machinery,lathe_entrapment,2,3,1,1,6.28,0,37.9,4,0
W1049,machinery,lathe_entrapment,8,1,0,0,5.86,1,88.5,2,1
W1050,machinery,conveyor_pinch,2,2,2,2,16.97,0,24.1,3,0
W1051,machinery,conveyor_pinch,8,0,0,0,4.61,1,83.0,3,1
W1052,fire,chemical_fire,7,0,0,0,6.05,1,77.6,4,1
W1053,gas,confined_space,4,3,0,0,10.13,1,70.0,1,1
W1054,gas,confined_space,1,3,3,1,7.42,1,33.8,4,0
W1055,machinery,lathe_entrapment,8,1,0,0,2.02,1,79.9,2,1
W1056,gas,confined_space,6,1,1,0,8.61,1,69.1,1,0
W1057,gas,confined_space,6,2,1,0,10.89,1,70.3,4,1
W1058,gas,h2s_leak,6,3,1,0,13.35,1,70.3,4,1
W1059,machinery,conveyor_pinch,7,0,0,0,2.92,1,90.9,3,1
W1060,machinery,milling_nip,6,2,1,0,7.49,1,70.7,4,1
W1061,machinery,lathe_entrapment,5,2,0,0,7.5,1,72.6,2,1
W1062,machinery,conveyor_pinch,2,2,1,2,17.53,1,34.3,3,0
W1063,gas,h2s_leak,5,0,0,0,5.98,1,80.1,4,1
W1064,fire,chemical_fire,4,2,1,0,10.4,1,66.0,2,0
W1065,fire,chemical_fire,4,3,1,0,10.37,1,73.9,3,1
W1066,fire,structural_fire,5,1,0,0,3.31,1,94.8,2,1
W1067,fire,chemical_fire,2,3,2,0,18.89,1,44.0,1,0
W1068,fire,electrical_fire,4,4,2,0,16.77,0,47.8,2,0
W1069,machinery,milling_nip,6,3,0,0,7.08,1,71.8,3,1
W1070,gas,methane_leak,2,5,1,0,14.0,1,59.9,3,0
W1071,machinery,milling_nip,7,1,0,0,3.88,1,76.7,4,1
W1072,fire,chemical_fire,5,2,1,0,8.62,1,65.0,3,0
W1073,machinery,conveyor_pinch,6,2,0,0,12.37,1,68.6,4,0
W1074,gas,methane_leak,7,1,0,0,4.74,1,78.0,4,1
W1075,gas,h2s_leak,8,0,0,0,2.62,1,94.7,1,1
W1076,gas,h2s_leak,2,2,3,1,16.47,1,25.6,1,0
W1077,gas,methane_leak,7,0,0,0,2.26,1,89.4,3,1
W1078,machinery,lathe_entrapment,5,0,0,0,2.01,1,86.0,2,1
W1079,fire,structural_fire,5,1,0,0,11.56,1,72.4,2,1
W1000,gas,confined_space,6,1,0,0,2.45,1,93.5,2,1
W1001,fire,chemical_fire,2,4,1,0,17.13,0,41.6,3,0
W1002,machinery,conveyor_pinch,6,0,0,0,6.6,1,89.2,2,1
W1003,gas,methane_leak,2,3,2,0,14.81,1,47.5,1,0
W1004,fire,electrical_fire,4,3,1,0,12.23,1,71.2,3,1
W1005,machinery,milling_nip,6,1,1,0,8.36,1,65.5,2,0
W1006,fire,chemical_fire,8,0,0,0,4.64,1,97.5,4,1
W1007,gas,h2s_leak,8,1,0,0,4.73,1,79.0,2,1
W1008,gas,methane_leak,4,2,0,0,6.32,1,65.5,1,0
W1009,gas,confined_space,6,2,1,0,11.61,1,65.7,3,0
W1010,machinery,lathe_entrapment,7,0,0,0,4.56,1,79.7,2,1
W1011,fire,structural_fire,5,1,0,0,5.49,1,91.8,3,1
W1012,fire,electrical_fire,8,0,0,0,4.27,1,89.0,2,1
W1013,gas,confined_space,6,0,0,0,2.82,1,96.9,2,1
W1014,machinery,lathe_entrapment,6,1,0,0,5.66,1,77.7,3,1
W1015,fire,chemical_fire,5,1,0,0,5.56,1,88.3,4,1
W1016,fire,chemical_fire,4,2,0,0,8.94,1,67.3,4,0
W1017,fire,structural_fire,5,0,0,0,6.29,1,75.3,1,1
W1018,fire,chemical_fire,6,0,0,0,6.66,1,94.7,3,1
W1019,machinery,lathe_entrapment,6,1,0,0,6.58,1,82.4,4,1
W1020,fire,structural_fire,5,0,0,0,3.12,1,86.9,3,1
W1021,fire,chemical_fire,3,4,2,0,12.69,1,40.2,1,0
W1022,fire,chemical_fire,2,4,2,0,16.73,1,63.9,3,0
W1023,fire,structural_fire,8,0,0,0,3.16,1,83.0,2,1
W1024,machinery,conveyor_pinch,8,1,0,0,2.52,1,87.2,3,1
W1025,fire,chemical_fire,1,4,2,1,5.57,0,51.4,4,0
W1026,machinery,milling_nip,5,0,0,0,4.53,1,89.7,3,1
W1027,gas,methane_leak,6,0,0,0,3.46,1,94.6,1,1
W1028,gas,confined_space,7,0,0,0,2.37,1,79.7,3,1
W1029,machinery,conveyor_pinch,8,1,0,0,3.57,1,77.8,2,1
W1030,gas,methane_leak,7,0,0,0,2.45,1,93.6,4,1
W1031,gas,confined_space,7,0,0,0,2.46,1,80.7,1,1
W1032,gas,h2s_leak,5,1,0,0,13.62,1,72.7,1,1
W1033,machinery,lathe_entrapment,5,0,0,0,2.61,1,76.4,2,1
W1034,fire,electrical_fire,3,5,1,0,16.66,1,62.0,2,0
W1035,fire,electrical_fire,8,0,0,0,2.46,1,94.5,1,1
W1036,gas,methane_leak,1,2,3,2,15.68,1,37.4,1,0
W1037,gas,confined_space,6,0,0,0,3.37,1,85.3,4,1
W1038,fire,electrical_fire,5,2,1,0,6.49,1,67.5,2,0
W1039,fire,chemical_fire,6,1,0,0,13.92,1,72.0,2,1
W1040,gas,h2s_leak,7,1,0,0,3.35,1,75.6,4,1
W1041,machinery,conveyor_pinch,3,3,2,0,16.24,0,63.4,1,0
W1042,fire,electrical_fire,5,0,0,0,4.88,1,97.6,2,1
W1043,gas,h2s_leak,7,1,0,0,6.57,1,75.6,2,1
W1044,machinery,milling_nip,4,2,1,0,7.4,1,65.3,2,0
W1045,fire,electrical_fire,8,0,0,0,3.66,1,89.1,2,1
W1046,fire,chemical_fire,2,2,1,1,12.63,0,47.1,2,0
W1047,machinery,milling_nip,8,0,0,0,3.68,1,82.4,1,1
W1048,fire,structural_fire,3,5,2,0,13.39,1,45.4,4,0
W1049,machinery,conveyor_pinch,7,0,0,0,2.89,1,75.0,4,1
W1050,machinery,lathe_entrapment,4,3,1,0,16.82,0,55.4,4,0
W1051,fire,chemical_fire,5,0,0,0,3.73,1,82.3,2,1
W1052,machinery,conveyor_pinch,7,0,0,0,3.25,1,76.6,3,1
W1053,gas,methane_leak,8,1,0,0,6.85,1,95.3,1,1
W1054,gas,h2s_leak,4,2,0,0,7.3,1,65.7,3,0
W1055,fire,chemical_fire,5,0,0,0,3.71,1,95.4,1,1
W1056,fire,structural_fire,4,2,1,0,11.64,1,68.9,1,0
W1057,machinery,conveyor_pinch,5,1,0,0,3.03,1,79.4,4,1
W1058,machinery,lathe_entrapment,5,1,0,0,6.4,1,70.1,3,1
W1059,gas,methane_leak,8,0,0,0,3.47,1,90.2,1,1
W1060,machinery,milling_nip,6,0,0,0,5.19,1,97.5,2,1
W1061,gas,methane_leak,3,4,2,0,12.73,1,44.4,3,0
W1062,gas,h2s_leak,7,1,0,0,4.33,1,80.2,2,1
W1063,gas,confined_space,5,0,0,0,5.34,1,93.6,1,1
W1064,gas,confined_space,5,3,1,0,13.73,1,71.2,2,1
